房间	Room
近日，丹霞洞天与合欢派同时发现一处平顶山附近的洞府残迹，据说此处留存有上古一名大能的道统，至关重要。双方为争夺此地机缘精锐尽出，展开了激烈的斗法。	"Recently, both Danxia Grotto-Heaven and the Joyous Union Sect simultaneously discovered remnants of an ancient cave dwelling near Flat-Top Mountain. It's said this site preserves the legacy of a mighty cultivator from antiquity, making it critically important. Both factions deployed their elite forces to seize this opportunity, engaging in fierce arcane battles."
几经争斗，合欢派最终成功得到此处仙府，门派实力大涨。丹霞洞天却损失惨重，门派实力大损。此役之后，两派的关系也大大恶化了。	合欢宗经过一番争夺，终于夺得这处洞天福地，实力大增。丹霞洞天在此战中损失惨重，势力大减。两派经此一役，关系急剧恶化
据传极天宫于小凉山击败烛龙，收获大量宝材灵物，门派实力大涨。	"Legends say Jitian Palace subdued the Candle Dragon at Xiaoliang Mountain, gaining precious materials to strengthen the sect."
天苍246年 春 第24日	Tiancang Year 246 Spring Day 24
据传丹霞洞天的大能伏涛在月轮山出没。	Rumors say the mighty Fu Tao of Danxia Cave-Heaven has been spotted at Lunar Cycle Mountain.
据传栖霞洞天的大能师美在月轮山出没。	It's said the mighty Shi Mei of Qixia Grotto-Heaven has been spotted at Moonwheel Mountain.
据传百蛮山的大能段旭在南屏村出没。	It's said the mighty Duan Xu of Baiman Mountain has been spotted in Nanping Village.
据传七杀魔宫的大能蒙亦瑶在小凉山出没。	Rumors say the mighty Meng Yiyao of Seven Kill Demon Palace has been spotted at Little Cold Mountain.
据传青莲剑宗于小凉山击杀凶凤，收获大量宝材灵物，门派实力大涨。	"Word spreads that Green Lotus Sword Sect overcame the Dire Phoenix at Xiaoliang Mountain, gaining spiritual treasures to strengthen the sect."
据传七仟坞的弟子在紫霄宗附近游历时，遇到几名紫霄宗的弟子。双方结伴历练，闯荡一番，在近期修行界也算搅动一些风云，闯出了一些名声。两派的关系也因此略有提升。	"Rumors say that when disciples of the Seven Thousand Islets Sect were adventuring near the Zixiao Sect, they encountered several Zixiao disciples. Traveling together, they stirred up some commotion in the recent cultivation world and gained some renown. Relations between the two sects improved slightly as a result."
据传合欢派于南屏村击杀凶凤，收获大量宝材灵物，门派实力大涨。	"Whispers say the Joyous Union Sect killed the Dire Phoenix at Southscreen Village, obtaining spiritual materials to strengthen the sect."
天苍246年 春 第25日	Tiancang Year 246 Spring Day 25
紫霄宗的大能罗博已在小凉山失去了踪迹	The mighty Luo Bo of Zixiao Sect has disappeared from Xiaoliang Mountain
据传一个隐居深海的小宗门为逃避海中巨妖的威胁而逃往大陆，举派投靠了青莲剑宗，青莲剑宗因此门派实力大增。	传闻有躲藏在深海的小门派为躲避海妖威胁逃到大陆，向青莲剑宗投诚，使其势力大增
据传百蛮山于铜陵山击杀蛟龙，收获大量宝材灵物，门派实力大涨。	"Reports say Baiman Mountain overcame the Flood Dragon at Bronze Ridge Mountain, acquiring spiritual materials to enhance their might."
据传一个隐居深海的小宗门为逃避海中巨妖的威胁而逃往大陆，举派投靠了栖霞洞天，栖霞洞天因此门派实力大增。	传闻有躲藏在深海的小门派为躲避海妖威胁逃到大陆，向栖霞洞天投诚，使其势力大增
据传紫霄宗于铜陵山击杀凶凤，收获大量宝材灵物，门派实力大涨。	"Tales spread of Zixiao Sect slaying the Dire Phoenix at Bronze Ridge Mountain, securing rare treasures to bolster their power."
不知何故，近日青莲剑宗竟发动大量门下弟子对紫霄宗山门展开围攻，双方于此各布仙阵，搅动数百里方圆天象崩乱，修行界为之震动。	青莲剑宗近日不知何故，调集大批弟子围攻紫霄宗山门。双方布下仙阵，数百里天象紊乱，震动修真界
占据地利背靠山门之故，紫霄宗最终胜利，其门下弟子亦从斗法中多有提升突破，门派实力大涨。青莲剑宗却损失惨重，门派实力大损。此役之后，两派的关系也大大恶化了。	"Due to occupying favorable terrain with their mountain gate at their back, the Purple Firmament Sect emerged victorious. Their disciples achieved breakthroughs through the combat, greatly enhancing the sect's strength. The Azure Lotus Sect suffered heavy losses, significantly weakening their power. After this battle, relations between the two sects deteriorated sharply."
天苍246年 春 第26日	Tiancang Year 246 Spring Day 26
据传七杀魔宫的大能赤丹秋在月轮山出没。	Rumors say the mighty Chi Danqiu of Seven Kill Demon Palace has been spotted at Lunar Cycle Mountain.
据传青莲剑宗的大能盛敬在小凉山出没。	It's said the mighty Sheng Jing of Qinglian Sword Sect has been spotted at Xiaoliang Mountain.
据传合欢派的大能柴滢在炼丹峰出没。	It's said the mighty Chai Ying of Joyous Union Sect has been spotted at Alchemy Peak.
据传昆仑宫在月轮山寻找到一家上古宗派的洞天小世界，一番收获下，门派实力大涨。	Rumors say Kunlun Palace discovered a pocket dimension belonging to an ancient sect in Moonwheel Mountain. Their harvest greatly strengthened the sect.
据传紫霄宗优化了派中核心阵法，门派实力大涨。	"Rumors say Violet Heaven Sect has optimized their core array, greatly enhancing their strength."
据传正一道寻到一名上古器修的洞府，获得大量元神寄托的灵器，门派实力大涨。	"Rumors say Zheng Yi Dao discovered an ancient Artifact Cultivator's cave, obtaining numerous spirit tools housing remnant souls, greatly boosting their sect's power."
天苍246年 春 第27日	Tiancang Year 246 Spring Day 27
昆仑宫的大能钟起灵已在月轮山失去了踪迹	The mighty Zhong Qiling of Kunlun Palace has vanished without a trace at Lunar Cycle Mountain
栖霞洞天的大能尤士已在小凉山失去了踪迹	The mighty You Shi of Qixia Grotto has vanished without a trace at Little Cold Mountain
据传七杀魔宫的长老在芦墟村附近游历时，巧遇一名紫霄宗的长老讲道，七杀魔宫的长老隐匿自己的行踪，设计拆台，竟然让紫霄宗的讲道变为一场闹剧，紫霄宗声望大跌。此事传出，在近日修行界成为笑柄，两派的关系也恶化了许多。	"Rumors say that when an elder of the Seven Killings Demon Palace was traveling near Luxu Village, they coincidentally encountered a Purple Heaven Sect elder preaching Dao. The demonic elder concealed their presence and sabotaged the event, turning the sermon into a farce that severely damaged the Purple Heaven Sect's reputation. This incident has recently become a laughingstock in the cultivation world, significantly worsening relations between the two factions."
据传紫霄宗寻到一名上古器修的洞府，获得大量元神寄托的灵器，门派实力大涨。	"Rumors say Zixiao Sect discovered an ancient Artifact Cultivator's cave, obtaining numerous spirit tools housing remnant souls, greatly boosting their sect's power."
据传七杀魔宫近日革新了门派律法，重新划分各个堂口，整个门派焕然一新。门派实力大增。	"It's said the Seven Slaughter Demon Palace recently reformed their sect laws, reorganizing all divisions. The entire sect has been revitalized, with strength significantly enhanced."
据传丹霞洞天的长老潜入万妖殿的藏宝库企图盗取天材地宝，被万妖殿发现。万妖殿掌门震怒之下废掉这名入侵者的双眼与四肢，以儆效尤。此事近日震动修行界，两派的关系也大大恶化了。	"Rumors say an elder from Danxia Grotto sneaked into the Ten Thousand Demons Hall's treasure vault to steal rare materials, but was caught. Enraged, the Ten Thousand Demons Hall Sect Leader crippled the intruder by blinding him and severing his limbs as a warning. This incident recently shocked the cultivation world, severely worsening relations between the two factions."
天苍246年 春 第28日	Tiancang Year 246 Spring Day 28
据传丹霞洞天的大能夏泰在铜陵山出没。	Rumors say the mighty Xia Tai of Danxia Cave-Heaven has been spotted at Tongling Mountain.
据传昆仑宫的大能李寂离在小凉山出没。	It's said the mighty Li Jili of Kunlun Palace has been spotted at Xiaoliang Mountain.
据传紫霄宗的大能谷梁梦琪在炼丹峰出没。	Rumors say the mighty Guliang Mengqi of Violet Heaven Sect has been spotted at Alchemy Peak.
据传合欢派于鸣沙村击杀凶凤，收获大量宝材灵物，门派实力大涨。	"Rumors claim the Joyous Union Sect vanquished the Dire Phoenix at Singing Sands Village, harvesting rare materials to strengthen their sect."
据传丹霞洞天派中祖师突然降下法身，为门派讲道。门派实力大增。	"Legends say Danxia Grotto's patriarch descended in avatar form to preach, significantly boosting the sect's power."
据传丹霞洞天近日革新了门派律法，重新划分各个堂口，整个门派焕然一新。门派实力大增。	"It's said the Danxia Grotto recently reformed their sect laws, reorganizing all divisions. The entire sect has been revitalized, with strength significantly enhanced."
丹霞洞天的大能伏涛已在月轮山失去了踪迹	The mighty Fu Tao of Danxia Cave-Heaven has vanished without a trace at Lunar Cycle Mountain
栖霞洞天的大能师美已在月轮山失去了踪迹	The mighty Shi Mei of Qixia Grotto has vanished without a trace at Lunar Cycle Mountain
百蛮山的大能段旭已在南屏村失去了踪迹	The mighty Duan Xu of Baiman Mountain has disappeared from Nanping Village
七杀魔宫的大能蒙亦瑶已在小凉山失去了踪迹	The mighty Meng Yiyao of Seven Kill Demon Palace has vanished without a trace at Little Cold Mountain
天苍246年 夏 第1日	Tiancang Year 246 Summer Day 1
据传百蛮山近日革新了门派律法，重新划分各个堂口，整个门派焕然一新。门派实力大增。	"It's said the Hundred Savage Peaks recently reformed their sect laws, reorganizing all divisions. The entire sect has been revitalized, with strength significantly enhanced."
据传青莲剑宗的长老在平顶山附近游历时，竟然遇到一名昆仑宫的长老被数名凶兽围攻，身陷险境。青莲剑宗的长老甘冒风险出手相救，最终击杀异兽，大有所获。两人经此一役互生爱慕，竟然结为道侣。此事在近日通传修行界，为大家津津乐道，两派的关系也因此大有提升。	"Rumors say an elder from Qinglian Sword Sect encountered a Kunlun Palace elder besieged by ferocious beasts near Pingding Mountain. Risking danger, the Qinglian elder intervened, slaying the monsters and gaining great rewards. The two developed mutual affection through this ordeal and eventually became Dao companions. This tale recently spread through cultivation circles, sparking lively discussions and significantly improving relations between their sects."
据传昆仑宫寻到一名上古器修的洞府，获得大量元神寄托的灵器，门派实力大涨。	"Rumors say Kunlun Palace discovered an ancient Artifact Cultivator's cave, obtaining numerous spirit tools housing remnant souls, greatly boosting their sect's power."
据传七杀魔宫于桂山击杀蛟龙，收获大量宝材灵物，门派实力大涨。	"Legends tell of Seven Slayers Demon Palace vanquishing the Flood Dragon at Osmanthus Mountain, harvesting precious treasures to empower the sect."
天苍246年 夏 第2日	Tiancang Year 246 Summer Day 2
据传紫霄宗的大能谢昌在炼丹峰出没。	It's said the mighty Xie Chang of Zixiao Sect has been spotted at Alchemy Peak.
据传正一道的大能龙雪柳在炼丹峰出没。	Rumors say the mighty Long Xueliu of Zhengyi Dao has been spotted at Alchemy Peak.
据传青莲剑宗的大能张康在炼丹峰出没。	It's said the mighty Zhang Kang of Qinglian Sword Sect has been spotted at Alchemy Peak.
天苍246年 秋 第2日	Tiancang Year 246 Autumn Day 2
据传百蛮山于南屏村击败烛龙，收获大量宝材灵物，门派实力大涨。	"Word tells of Baiman Mountain subduing the Candle Dragon at Southscreen Village, gaining precious treasures to empower the sect."
据传青莲剑宗于桂山击杀凶凤，收获大量宝材灵物，门派实力大涨。	"Word spreads that Green Lotus Sword Sect slew the Dire Phoenix at Osmanthus Mountain, securing rare materials to empower the sect."
近日，紫霄宗最受长辈宠爱的小弟子与昆仑宫的几名弟子在大雪原附近发生了摩擦，之后冲突连续升级，甚至引动双方门派长老叠出，竟演变为一场大规模的斗法。	"Recently, conflicts arose between the most favored junior disciple of Zixiao Sect and several disciples of Kunlun Palace near the Great Snow Plains. The clashes escalated continuously, even prompting interventions from elders of both sects, eventually evolving into a large-scale cultivation battle."
此役持续月余，死伤无算，紫霄宗最终胜利，其门下弟子亦从斗法中多有提升突破，门派实力大涨。昆仑宫却损失惨重，门派实力大损。此役之后，两派的关系也大大恶化了。	"This conflict lasted over a month with countless casualties. The Zixiao Sect ultimately emerged victorious, and its disciples achieved breakthroughs through combat, greatly enhancing the sect's strength. Meanwhile, the Kunlun Palace suffered heavy losses, significantly weakening its power. After this battle, relations between the two factions plummeted."
天苍246年 秋 第3日	Tiancang Year 246 Autumn Day 3
据传昆仑宫派中天地灵根成熟，引动天道波动，灵气汇聚。受此泽被，整个门派实力大增。	"Rumors speak of the Kunlun Palace's World Spirit Root reaching maturity, stirring heavenly dao fluctuations and gathering spiritual energy. Blessed by this event, the entire sect's power has greatly increased."
天苍246年 秋 第4日	Tiancang Year 246 Autumn Day 4
据传丹霞洞天的大能轩辕秀在铜陵山出没。	Rumors say the mighty Xuanyuan Xiu of Danxia Cave-Heaven has been spotted at Tongling Mountain.
轩辕士感到危险	Xuanyuan Shi senses danger
百里眉心境不稳	Baili Mei's mental state is unstable
百里眉拜董之柔为师	Baili Mei became Disciple of Zhirou
姜龙拜百里眉为师	Jiang Long becomes Baili Mei's disciple
路人需要帮助	Passerby in Need
百里眉：受伤	Baili Mei: hurt.
雅艺	Artisanry
席信的技能雅艺升级了	Xi Xin's Artisanry skill has leveled up
着火了	On Fire
敌人出现	Enemy Appears
夏季即将来临	Summer Approaches
请做好避暑准备	Please prepare for heat prevention
化形镇神神雷	Shapeshift Spirit-Suppressing Thunder
丙火金刚真言	Binghuo Vajra Mantra
奔烈覆天神雷	Galloping Heaven-Covering Thunder
天火飞星神雷	Celestial Fire Shooting Star Divine Thunderbolt
奠基宝典	Scripture of Foundation Laying
少量的	Slightly
奠基秘册	Foundation Secret Manual
奠基经	Foundation Scripture
金刚宝典	Diamond Tome
五戒奠基秘法	Five Precepts Foundation Secret Art
中量的	Visibly
辟谷要诀	Essential Formula of Fasting
微草佛心宝典	Tiny Grass Buddha-Heart Codex
黄芽合一册	Yellow Sprout Unity Volume
五内琢玉通卷	Five Organs Jade-Carving Tome
凌霄决意神功	Heavenly Resolve Divine Art
大量的	Greatly
奔烈合一要诀	Fusion of Swiftness and Fury
凌霄摄神	Firmament Spirit Capture
海量的	Massively
御木诀	Wood Control Formula
元坤妙法	Yuan Kun Marvelous Method
醍醐灌顶之术	Enlightenment Bestowal Technique
凌霄沃野密卷	Heavenly Vault Fertile Field Secret Scroll
赋灵术	Spirit Infusion Art
五泉涤心法	Five Springs Heart-Cleansing Method
先天罡气	Innate Gang Qi
化伤术	Wound Transformation Art
天霖诀	Heavenly Rain Formula
天一真法	True Method of Tian Yi
水镜观心定	Water Mirror Heart-Calming Method
同风诀	Shared Wind Technique
归海诀	Sea-Return Technique
九阴真水界	Nine Yin True Water Realm
罡煞合流	Convergence of Gangsha
金刚诀	Diamond Sutra
霹雳陨星	Meteor of Thunderbolt
五台覆灭诀	Five Terraces Annihilation Art
三才飞星诀	Three Talents Shooting Star Art
咒神宝典	Curse God Treasure Canon
咒神	Curse God
急诵宝典	Rapid Chant Tome
霹雳归藏	Secret of Gui Cang
大日咒神	Great Sun Curse God
多宝急诵卷	Treasure Rapid Chant Scroll
西海归祖七签	West Sea Ancestral Return Seven Signs
神佑记	Divine Protection Record
清心	Clear Heart
饕餮秘法	Gluttony Art
震雷百炼纲要	Shocking Thunder Refinement Compendium
勾陈鲸吞纪要	Gouchen Devouring Compendium
多宝沃野	Many Treasures Fertile Land
震雷百炼通卷	Complete Scroll of Thunder Refinement
赤霄宫佛心书	Red Firmament Palace Buddha Heart Scripture
六气神农通卷	Six Qi Divine Farmer Compendium
少林合一书	Shaolin Unity Canon
凝珀诀	Amber Condensation Formula
炼制灵晶之术	Spirit Crystal Production Technique
玉液炼形诀	Jade Fluid Body-Refining Art
药典	Herbal Codex
明目诀	Bright Eyes Technique
菁华诀	Essence Formula
灵息诀	Spirit Breath Technique
清心咒	Serene Heart Curse
百草金石录	Hundred Herbs Metal-Stone Record
开炉九诀	Nine Formulas of Furnace Opening
归元诀	Origin Return Formula
新体诀	New Body Technique
入定之术	Art of Meditation
洗心咒	Heart-Cleansing Curse
太上丹经	Elixir Scripture of Supreme Being
秘宝：神农鼎	Artifact: Divine Farmer's Cauldron
太上内经	Supreme Internal Classic
无漏之身	Flawless Body
再造术	Rebuilding Art
道德清净法	Taoist Purity Method
道心	Dao Heart
秘宝：离地焰光旗	Treasure: Fiery Light Flag of Lidi
速炼法	Rapid Refining Method
炼身法-速	Body Refinement - Speed
精炼法	Refinement Method
炼身法-精	Body Refinement - Essence
神炼法	Divine Refinement Method
炼身法-神	Body Refinement - Spirit
伐毛洗髓之术	Bone Cleansing Technique
再造形神之术	Body-Spirit Reformation Art
开天眼之术	Third Eye Opening Art
天道神丹	Divine Elixir of Heavenly Dao
天道神器	Divine Artifact of Heavenly Dao
赤炎覆天真言	Crimson Sky-Covering Mantra
道基流光神雷	Dao Foundation Flowing Light Divine Thunder
阴阳流光真言	Incantation of Yin-Yang Radiant Light
急诵	Urgent Chant
急诵秘法	Rapid Chant Art
崩天经	Sky-Sundering Sutra
朱雀归藏九卷	Vermilion Bird Nine Seals of Return
五戒急诵秘诀	Five Precepts Rapid Chanting Secret Formula
道基崩天密卷	Secret Scroll of Dao Foundation Heaven-Shattering
焚日金刚宝典	Blazing Sun Vajra Canon
东华咒神	Donghua Curse God
丙火急诵宝典	Fiery Recitation Codex
御气崩天经	Qi-Control Heaven-Shattering Scripture
丁火千钧秘诀	Ding Fire (Yin Fire) Thousand Jun Secret Art
鲸吞秘传	Leviathan's Maw Secret Transmission
长生辟谷要诀	Longevity Fasting Formula
龙虎神视要诀	Dragon-Tiger Divine Vision Essence
赤霄宫神龟宝典	Red Sky Palace's Divine Turtle Treasure Canon
赤炎佛心	Buddha Core of Blazing
炽凰沃野丹方	Phoenix Fertile Formula
华山妙手	Hua Mountain Mastery
御神妙手要诀	Divine Control Skilled Hands Formula
玄牝重生法	Mystic Feminine Rebirth Method
少林覆天真言	Shaolin Sky-Covering Mantra
御气陨星真言	Incantation of Qi-Guided Meteor
归藏要诀	Essential Formula of Gui Cang
千钧	Thousand Jun
崩天秘诀	Sky-Sundering Secret Technique
归源咒神九卷	Origin-Return Curse Nine Scrolls
嵩山咒神九卷	Songshan Curse God Nine Scrolls
惊波归藏七签	Startling Waves Seven Seals of Return
白帝宫归藏卷	White Emperor Palace Return Scroll
六气急诵九卷	Six Qi Rapid Chanting Nine Scrolls
彻法归藏秘法	Law-Penetrating Return Esoterica
壬癸崩天	Ren Gui Sky-Sundering
三才归藏	Three Talents Returning to the Source
合一册	Unity Manual
百炼	Hundred Refinements
玄武神农秘要	Black Tortoise Divine Farmer Secret Essentials
黄庭鲸吞纪要	Yellow Court Devouring Compendium
嵩山鬼手宝册	Song Mountain Ghost Hand Manual
勾陈摄神典	Gou Chen Soul-Snatching Canon
逆浪佛心记	Countercurrent Buddha Heart Records
杜国真人佛心记	Record of Du Guo True Person's Buddha Heart
百汇摄神秘要	Hundred Convergence Soul-Snatching Secret
魂体寄生	Soul Parasitism
慧剑斩念	Wisdom Sword Severing Thoughts
玄机心光咒	Mystic Heart Light Curse
太乙金刚神雷	Taiyi Vajra Divine Thunder Technique
壬水化伤	Ren Water Transforms Wounds
崩天宝典	Scripture of Heaven Sundering
咒神七签	Seven Signs of Curse Spirit
百炼要诀	Hundred Refinements Essentials
摄神记	Soul-Snatching Record
现在贤神佑要诀	Present Sage's Divine Protection Key
新境通慧	New Realm Enlightenment
百汇通慧典	Bai Hui Wisdom Canon
灵淬之法	Spirit Refinement Method
尤灵雁上仙燃灵诀	Immortal You Lingyan's Spirit Burning Art
辛金接天神雷	Metallic Heaven-Touching Lightning
阴阳九极	Nine Extremes of Yin Yang
急诵卷	Haste Recitation Scroll
迅击秘诀	Swift Strike Secret Art
百炼秘传	Secret Transmission of Hundred Refinements
少林鬼手密卷	Shaolin Ghost Hand Secret Scroll
金雷合一记	Golden Thunder Unity Records
搜魂大法	Soul-Searching Great Method
风水鉴定	Geomancy Appraisal
麒麟落花神雷	Qilin Falling Blossoms Lightning
崩天七签	Seven Signs of Heaven-Shattering
蓄神秘法	Spirit Accumulation Art
五内混元式	Five Viscera Hybrid Form
赤日奠基经	Crimson Sun Foundation Scripture
百草阁咒神七签	Hundred Herbs Pavilion's Curse God Seven Signs
入道归藏经	Dao Initiation Returning Treasury Scripture
阴阳鬼手卷	Yin-Yang Ghost Hand Scroll
彻法归藏卷	Thorough Method Returning to the Source Scroll
冥灵真法	Nether Spirit True Method
灵犀咒	Soul Resonance Curse
流光咒	Flowing Light Curse
断岳先天一气咒	Mountain-Severing Innate Qi Grand Mantra
现在贤清心真言	Present Sage's Serenity Incantation
斩天流光	Sky-Severing Flowing Light
咒神秘法	Curse Spirit Art
归藏卷	Hidden Return Scroll
咒神卷	Curse God Scroll
白虎崩天九卷	White Tiger Heaven-Sundering Nine Scrolls
辛金崩天经	Xin Metal Heaven-Shattering Scripture
鬼手秘传	Ghost Hand Secret Transmission
鬼手要诀	Ghost Hand Key Formula
气摄经	Qi Absorption Sutra
庚辛鲸吞秘传	Geng-Xin (Metal Phase) Devouring Secret Art
震雷神视秘法	Secret Method of Thunder Spirit Vision
赤月饕餮纪要	Crimson Moon Gluttony Compendium
本源多宝纲要	Compendium of Essence Treasures
天金合一记	Celestial Metal Unity Records
庚金鬼手要诀	Gengjin Ghost Hand Formula
周天神算	Universal Foresight
阴神夺舍	Lesser Possession
形容之蚀	Corrosion of Form
形容返照	Form Reflection
血骨炼形	Blood and Bone Refinement
龟息诀	Turtle Breath Technique
五感之蚀	Corrosion of Five Senses
五感返照	Five Senses Reflection
蛰命法	Life-Hibernation Method
献祭	Sacrifice Offering
神智之蚀	Erosion of Divine Wisdom
神智返照	Wisdom Reflection
鼎炉吸真术	Cauldron Essence Absorption Art
天魔解体大法	Demon Disintegration Art
欺天	Heaven-Deceiving
窃天	Heaven Stealer
阳神夺舍	Greater Possession
气运之蚀	Erosion of Qi Fortune
气运返照	Qi Fortune Reflection
九幽返照	Nine Nethers Reflection
浊之躯	Turbid Flesh
护体血罡	Blood Aura Body Protection
凝血神盾	Blood Coagulation Divine Shield
偷天	Sky Thief
换日	Sun Replacer
秘宝：偷天七绝针	Treasure: Seven Ultimate Heaven-Stealing Needles
碧光落花神雷	Emerald Light Falling Blossoms Thunder
归真覆天真言	Return to Truth Heaven-Overturning Mantra
圆转剑	Circular Flow Sword
通慧	Wisdom Channel
黄芽多宝	Yellow Sprout Treasures
大日决意要诀	Solar Resolve Formula
归真万古神功	Return to Truth Eternal Divine Technique
天心正法	Righteous Method of Heavenly Heart
心印诀	Chant of Resonance
蜀山蓄神宝典	Shu Mountain Spirit-Storing Canon
初解流光咒	Initial Radiance Curse
飞星神雷	Divine Thunder of Flying Stars
知节回春咒	Discipline Revival Curse
忘情九极真言	Nine Extremes of Detachment Mantra
咒神九卷	Curse God Nine Scrolls
咒神秘诀	Curse God Secret Art
知节急诵经	Discipline Rapid Chant Scripture
龙虎崩天秘要	Dragon-Tiger Heaven-Shattering Secret Essentials
佛心	Buddha Heart
佛心典	Buddha Heart Canon
初解气摄	Primordial Qi Absorption
东华归祖经	Eastern Glory Ancestral Return Scripture
玄关合一册	Mystic Pass Unity Manual
化形圆转十三式	Thirteen Forms of Shapeshifting Circular Flow
大衍神算	Derivative Calculation
吸星掌	Star-Sucking Palm
幽淬之法	Ghostly Tempering Technique
大日金刚	Vajra of the Great Sun
混元剑诀	Primordial Chaos Sword Formula
破灭十式	Ten Forms of Annihilation
破灭	Annihilation
曳影	Flickering Shadow
神佑书	Divine Protection Manual
气摄神功	Qi Control Divine Power
百炼纲要	Hundred Refinements Compendium
鲁绮思上仙气摄	Immortal Lu Qisi's Soul Devouring
新境百炼纲要	New Realm Refinement Compendium
勾陈佛心	Gouchen Buddha Heart
大日鲸吞经	Solar Flare Devouring Scripture
太乙琢玉密卷	Taiyi Jade-Carving Scripture
鸿蒙蓄神	Spirit Accumulation of Primordial Chaos
御灵术	Spirit Control Art
彻法辟谷宝典	Fasting Canon of Ultimate Law
流光真言	Flowing Light True Words
天火天星	Celestial Fire Heavenly Star
圆转决	Circular Flow Technique
混元宝典	Scripture of Hybrid Origin
天火千钧剑	Heavenly Fire Thousand Jun Sword
丁火迅影剑	Ding Fire Swift Shadow Sword
燃魂破灭决	Soul-Burning Annihilation Decision
微草破灭七式	Tiny Grass Annihilation Seven Forms
赤炎破灭式	Blazing Flame Destruction Form
炽凰蓄神	Blazing Phoenix Spirit Accumulation
鲸吞纪要	Whale Devour Compendium
鲸吞秘法	Leviathan's Maw Secret Method
神视经	Divine Sight Scripture
丙火百炼纲要	Essence of Fiery Refinement
少林摄神密卷	Shaolin [Buddhist] Mind Control Scripture
天火合一	Union of Celestial Fire
托体同山诀	Body-Entrusting Mountain Art
紫薇震地咒	Purple Tenuity Earth-Shaking Curse
逆浪落花诀	Countercurrent Blossom Art
东华镇神诀	Eastern Splendor Spirit-Suppressing Art
决意秘要	Resolute Secret Essentials
过去庄严沃野宝册	Past Majesty Fertile Fields Treasure Manual
神视	Divine Sight
神视宝典	Divine Vision Tome
神佑密卷	Secret Scroll of Divine Blessing
勾陈决意密卷	Gouchen Resolve Scroll
万源归真摄神典	Ten Thousand Sources Return to Truth Soul Devouring Canon
修蛇通慧书	Serpent Wisdom Tome
金丹神农药典	Golden Core Divine Farmer Herbology
五台清心神功	Wutai Serenity Divine Art
化形摄神书	Shapeshift Spirit-Snatching Tome
万源归真摄神册	Ten Thousand Sources Return to Truth Soul Devouring Scripture
风月幻境	Illusory Realm of Wind and Moon
赤日通慧记	Crimson Sun Wisdom Record
紫云宫鲸吞	Purple Cloud Palace Whale Devour
御气急诵秘诀	Qi Control Rapid Chant Secret Art
长生通天咒	Longevity Heaven-Piercing Curse
通天诀	Heaven-Piercing Technique
坤元密卷	Kunyuan Secret Scroll
迅影七式	Seven Forms of Swift Shadow
坤元宝典	Kun Yuan Scripture
圆转秘法	Circular Flow Secret Method
甲木圆转十式	Wooden Cyclic Ten Forms
入道破灭秘诀	Dao-Entry Annihilation Esoterica
乙木蓄神	Yi Wood Spirit Accumulation
冷月迅击剑	Frostmoon Swift Strike Sword
华山千钧剑诀	Mount Hua's Thousand Jun Sword Art
东海蓄神七式	East Sea Spirit Storage Seven Forms
长生迅击十式	Longevity Blitz Ten Forms
况承真人神龟纪要	Real Person Kuang Cheng's Divine Turtle Summary
百炼通卷	Hundred Refinements Manual
万木决意经	Ten Thousand Woods Resolve Scripture
赤日多宝秘要	Crimson Sun Treasure Secret Essentials
苍木百炼通卷	Ancient Wood Refinement Complete Scroll
苍龙气摄	Azure Dragon Qi Absorption
现在贤百炼秘法	Present Sage's Hundred Refinements Secret Art
紫霄妙手通卷	Purple Firmament Dexterity Tome
大日五气	Five Qi of Great Sun
天星真言	Heavenly Star True Words
奠基	Foundation Laying
奠基密卷	Foundation Secret Scroll
少林急诵	Shaolin Rapid Chant
鲸吞	Whale Devourer
百汇决意秘传	Convergence Resolve Esoterica
大日鲸吞纪要	Great Sun Devouring Compendium
武当佛心宝典	Wudang Buddha Heart Canon
未来星宿百炼密卷	Future Constellations Hundred Refinements Secret Scripture
南海辟谷纪要	South Sea Fasting Compendium
时氏多宝通卷	Shi Clan Treasure Compendium
玄武千钧剑	Black Tortoise Thousand Jun Sword
百炼诀	Hundred Refinements Formula
博物志	Naturalist's Journal
上清真气	Shangqing True Qi
灵淬法	Spirit Tempering Method
炼器十要	Ten Essentials of Artifact Refining
炼制灵石之术	Art of Crafting Spirit Stones
琢玉册	Jade-Carving Manual
丙丁雷泽火	Fire Thunder Marsh Flame
神火合一·雷泽	Flame Fusion - Thunder Marsh
上清先天真焰	Shangqing Primordial True Flame
神火合一·上清	Divine Fire Unity · Supreme Clarity
心焰	Heart Flame
神火合一·心焰	Divine Fire Unity · Heart Flame
上清秘传造化真解	Shangqing Secret Tradition Creation True Explanation
彻法无形神雷	Formless Divine Thunder of Ultimate Law
现在贤落花真言	Present Sage's Petals Fall Divine Pronouncements
知节覆天	Season-Overturning Heaven
微草清心要诀	Tiny Grass Clarity Formula
炽凰神佑	Blazing Phoenix Divine Blessing
入道饕餮神功	Path Initiation Gluttony Divine Art
紫火神视	Purple Fire Divine Vision
炽凰决意秘传	Phoenix Resolve Esoterica
未来星宿万古经	Future Constellations Eternal Scripture
六气千钧	Six Qi Thousand Jun
大日燃灵神雷	Great Sun Soul-Burning Divine Thunder
六气不坏神雷	Six Qi Indestructible Thunder
东华覆天咒	Eastern Splendor Heaven-Sundering Curse
崩天卷	Sky-Sundering Scroll
